Postal code,Latitude,Longitude
K2A,45.380250,-75.761380
K4A,45.467340,-75.477990
K1B,45.420420,-75.596030
K2B,45.361720,-75.789450
K4B,45.414130,-75.403640
K2C,45.360810,-75.741590
K4C,45.505580,-75.398090
K1E,45.473920,-75.505240
K2E,45.347630,-75.716410
K2G,45.323460,-75.742440
K2H,45.330440,-75.811270
K1J,45.444780,-75.607680
K2J,45.268760,-75.745100
K2K,45.337450,-75.913530
K2L,45.299740,-75.888750
K1M,45.443910,-75.679610
K2M,45.285850,-75.855990
K4M,45.228620,-75.676070
K1P,45.420570,-75.698330
K4P,45.256830,-75.576120
K1R,45.411390,-75.706130
K2R,45.284460,-75.799030
K1S,45.401860,-75.687880
K2S,45.265170,-75.920100
K1T,45.343360,-75.625360
K2T,45.314830,-75.930920
K2V,45.280200,-75.889980
K1W,45.436120,-75.521550
K2W,45.359390,-75.957660
K1X,45.285130,-75.631390
K1Y,45.401430,-75.727740
K1Z,45.385430,-75.741040
R3B,49.897490,-97.141080
R3E,49.907380,-97.175650
R3G,49.886740,-97.177100
R2K,49.920350,-97.081960
R2L,49.907980,-97.101990
R3L,49.870550,-97.138590
R3M,49.866210,-97.162820
R2N,49.810820,-97.097380
R3N,49.863990,-97.197150
R2P,49.959400,-97.170140
R2R,49.940140,-97.204470
R3R,49.857550,-97.288140
R3S,49.857550,-97.288140
R3V,49.768110,-97.155870
R2W,49.919590,-97.136000
R3W,49.908060,-97.043090
R3X,49.831390,-97.056970
R2Y,49.890730,-97.296590
R3Y,49.800870,-97.192630
H1A,45.672260,-73.498170
H2A,45.561640,-73.598850
H3A,45.504610,-73.573040
H5A,45.500250,-73.565540
H7A,45.670320,-73.582390
H9A,45.494600,-73.830690
H1B,45.640210,-73.502590
H2B,45.573730,-73.650830
H3B,45.500510,-73.568330
H4B,45.462870,-73.633400
H5B,45.508070,-73.563700
H7B,45.685320,-73.635820
H9B,45.491100,-73.801150
H1C,45.661990,-73.551650
H2C,45.560700,-73.657800
H3C,45.494790,-73.561150
H4C,45.475370,-73.586910
H7C,45.620640,-73.648850
H9C,45.498580,-73.874670
H1E,45.638510,-73.590430
H2E,45.551540,-73.612440
H3E,45.463060,-73.543850
H4E,45.456420,-73.593230
H7E,45.602000,-73.674440
H9E,45.477820,-73.896720
H1G,45.610140,-73.623930
H2G,45.544200,-73.593260
H3G,45.497532,-73.577827
H4G,45.463030,-73.569690
H7G,45.572910,-73.685220
H9G,45.475830,-73.835750
H0H,45.420420,-75.692430
H1H,45.590000,-73.639440
H2H,45.536650,-73.573420
H3H,45.492380,-73.582150
H4H,45.447100,-73.580300
H7H,45.640710,-73.755680
H1J,45.607680,-73.576840
H2J,45.529730,-73.582350
H3J,45.486550,-73.572180
H4J,45.529260,-73.711090
H7J,45.678840,-73.708000
H2K,45.530730,-73.554990
H3K,45.479680,-73.562620
H4K,45.523250,-73.728510
H7K,45.620180,-73.738560
H9K,45.457330,-73.896780
H1L,45.600590,-73.518860
H2L,45.518640,-73.559910
H3L,45.546990,-73.669250
H4L,45.517940,-73.684290
H0M,45.048790,-74.512740
H1M,45.587670,-73.556100
H2M,45.551450,-73.639870
H3M,45.537760,-73.693800
H4M,45.501270,-73.685810
H7M,45.599600,-73.720070
H1N,45.576930,-73.537540
H2N,45.540040,-73.651710
H3N,45.528990,-73.631410
H4N,45.529030,-73.667040
H7N,45.557780,-73.702640
H8N,45.437020,-73.620310
H0P,45.420420,-75.692430
H1P,45.596770,-73.593960
H2P,45.544030,-73.633740
H3P,45.521920,-73.638910
H4P,45.497400,-73.658770
H7P,45.577600,-73.802240
H8P,45.426020,-73.606480
H9P,45.453470,-73.763250
H1R,45.585830,-73.608520
H2R,45.540280,-73.619890
H3R,45.510560,-73.648520
H7R,45.554170,-73.860050
H8R,45.430222,-73.645981
H9R,45.458110,-73.810960
H1S,45.581500,-73.580850
H2S,45.534900,-73.606700
H4S,45.492960,-73.741720
H7S,45.571750,-73.731490
H8S,45.440130,-73.676010
H9S,45.440850,-73.772930
H1T,45.570430,-73.574830
H2T,45.523880,-73.593420
H4T,45.482870,-73.694870
H7T,45.556190,-73.769950
H8T,45.444220,-73.705270
H1V,45.555150,-73.537900
H2V,45.518450,-73.608630
H3V,45.495190,-73.613720
H4V,45.467130,-73.648150
H7V,45.543190,-73.738420
H1W,45.544780,-73.547320
H2W,45.517670,-73.578950
H3W,45.491160,-73.632440
H4W,45.468890,-73.664990
H7W,45.536720,-73.762390
H9W,45.431510,-73.865520
H1X,45.555590,-73.572170
H2X,45.511380,-73.568030
H3X,45.482100,-73.641540
H4X,45.454350,-73.650340
H7X,45.526080,-73.805770
H9X,45.413800,-73.927660
H1Y,45.548752,-73.578346
H2Y,45.504900,-73.555750
H3Y,45.487460,-73.603750
H4Y,45.457820,-73.750130
H7Y,45.523610,-73.848770
H8Y,45.505500,-73.799470
H1Z,45.571480,-73.620660
H2Z,45.504560,-73.562690
H4Z,45.501320,-73.562060
H8Z,45.506470,-73.840980
M3A,43.756119,-79.329643
M4A,43.726780,-79.310740
M5A,43.655380,-79.365010
M7A,43.663910,-79.388730
M9A,43.664520,-79.529080
M1B,43.806850,-79.201470
M3B,43.746310,-79.357600
M4B,43.706680,-79.306580
M5B,43.657480,-79.378630
M6B,43.707100,-79.447890
M9B,43.652760,-79.552330
M1C,43.787220,-79.152520
M3C,43.725910,-79.340630
M5C,43.651110,-79.375740
M6C,43.690170,-79.431260
M9C,43.643680,-79.574500
M1E,43.767630,-79.189020
M4E,43.676560,-79.294160
M5E,43.647020,-79.374080
M6E,43.688420,-79.449200
M1G,43.769050,-79.218200
M4G,43.708230,-79.367690
M1H,43.768260,-79.237980
M2H,43.801190,-79.357430
M4H,43.703780,-79.345910
M5H,43.649670,-79.382250
M6H,43.665170,-79.437810
M1J,43.744730,-79.234970
M2J,43.779980,-79.343770
M4J,43.779980,-79.343770
M5J,43.640690,-79.376620
M6J,43.647420,-79.418040
M1K,43.729140,-79.263210
M2K,43.773891,-79.379799
M3K,43.733360,-79.471020
M4K,43.678820,-79.351290
M5K,43.648160,-79.381960
M6K,43.640950,-79.429580
M1L,43.708500,-79.283360
M2L,43.753410,-79.379530
M3L,43.734800,-79.511370
M4L,43.670530,-79.316540
M5L,43.648780,-79.378960
M6L,43.713880,-79.487850
M9L,43.758700,-79.561310
M1M,43.726250,-79.231500
M3M,43.729850,-79.495040
M4M,43.662040,-79.341110
M5M,43.731820,-79.417870
M6M,43.692490,-79.482300
M9M,43.734970,-79.538680
M1N,43.696100,-79.264740
M2N,43.768380,-79.408950
M3N,43.757000,-79.518660
M4N,43.727160,-79.397040
M5N,43.710550,-79.419600
M6N,43.674680,-79.480570
M9N,43.705470,-79.517720
M2P,43.749250,-79.399660
M5P,43.695910,-79.412550
M6P,43.661380,-79.464640
M9P,43.692270,-79.530810
M1R,43.749720,-79.300760
M2R,43.778360,-79.443250
M4R,43.711050,-79.403800
M5R,43.673180,-79.401760
M6R,43.646890,-79.449150
M7R,45.420422,-75.692429
M9R,43.686950,-79.557800
M5S,43.664670,-79.397190
M6S,43.653210,-79.481970
M1T,43.782490,-79.302410
M4T,43.687790,-79.388640
M1V,43.818010,-79.281500
M4V,43.686410,-79.401660
M5V,43.643870,-79.395850
M8V,43.605830,-79.499100
M1W,43.801160,-79.321730
M4W,43.676040,-79.380800
M5W,43.645750,-79.377780
M8W,43.599300,-79.536050
M9W,43.718990,-79.584600
M1X,43.826200,-79.227690
M4X,43.667960,-79.370120
M5X,43.648580,-79.381720
M8X,43.652700,-79.511280
M4Y,43.666290,-79.382450
M7Y,43.663500,-79.317430
M8Y,43.633710,-79.496520
M8Z,43.629710,-79.517480
